id,constant,position,translate
35,indexStepsText.step2.text|dot,Описание Шага №2,Choisissez une option de paiement pratique et complétez votre solde
36,indexStepsText.step3.title,Шаг №3,Effectuer vos premières opérations de trading
37,indexStepsText.step3.text|dot,Описание Шага №3,Découvrez le terminal de trading et commencez à négocier.
1.5. Информация об аккаунтах.,,,
38,indexAccountsText.h2,Главный заголовок раздела,Tarifs
39,indexAccountsText.account1.title,Аккаунт №1,Investor
40,indexAccountsText.account1.text|dot,Подзаголовок для аккаунта №1,Accès aux instruments les plus populaires pour les traders novices et la possibilité de commencer avec un investissement minimal
41,indexAccountsText.account2.title,Аккаунт №2,Professional
42,indexAccountsText.account2.text|dot,Подзаголовок для аккаунта №2,Forfait avancé d'instruments de trading pour les traders avancés avec de grandes quantités d'investissement
43,indexAccountsText.account3.title,Аккаунт №3,Premium
44,indexAccountsText.account3.text|dot,Подзаголовок для аккаунта №3,"Un ensemble complet d'instruments financiers pour les commerçants professionnels, y compris des conditions commerciales spéciales, des commissions minimales et des services supplémentaires"
45,indexAccountsText.account_condition_1,Минимальный депозит:,Dépôt minimum
46,indexAccountsText.account_condition_2,Кредитное плечо:,Influence
47,indexAccountsText.account_condition_3,Моментальное исполнение,Exécution instantanée
48,indexAccountsText.account_condition_4,Торговля криптовалютами и металлами,Commerce de crypto-monnaies et métaux
49,indexAccountsText.account_condition_5,Возможность инвестиций в ПАММ-счета,Investissement des comptes PAMM
50,indexAccountsText.account_condition_6,Отсутствие свопа,Pas d'échange
51,indexAccountsText.account_condition_7,Торговля ETF и индексами,ETF et trading d'indices
52,indexAccountsText.account_condition_8,Страхование депозитов,L'assurance-dépôts
53,indexAccountsText.account_condition_9,Персональный менеджер,Manager personnel
54,indexAccountsText.account_condition_10,Открытие личного ПАММ-счета,Ouverture d'un compte PAMM personnel
53,indexAccountsText.account_condition_11,Защита депозитов,Protection des dépôts
54,indexAccountsText.account_condition_12,Круглосуточная поддержка,Le soutien de
1.6. Новости,,,
55,indexNewsText.h2,Главный заголовок раздела,Dernières nouvelles économiques
1.7. Футер,,,
56,footerContent,Футер текст,"{Brockername} est inscrit à: France, Ile-de-France, ligne A, station de chessie de Marne-la-Valllee. Les activités de la société sont effectuées conformément aux exigences de l'autorité européenne sur la supervision du marché des valeurs mobilières (numéro de licence: 096/08), la Commission australienne des titres et des investissements (ASIC) (19-365MR) et l'autorité de réglementation financière du Royaume-Uni (FCA) FRN: 584283."
2. Рынки и инструменты,,,
2.2. Обзор рынков,,,
2.2.1. Посадочный экран,,,
57,marketsHeaderText.title,Заголовок,{Nom du courtier} est une occasion de gagner de l'argent de partout dans le monde.
58,marketsHeaderText.text|dot,Подзаголовок,Choisissez n'importe quelle direction pour investir sur la plate-forme
59,commonMarketsText.title_graph,Загловок торгового графика,Tableau des instruments commerciaux
60,commonMarketsText.title_table,Заголовок таблицы инструментов,Table des instruments
61,commonMarketsText.footnote,Часы работы рынков,* Les heures d'ouverture et de fermeture sont indiquées par UTC +0
2.2.2. Валюты,,,
62,marketsListText.market1.title,Заголовок,Paires de devises
63,marketsListText.market1.text|dot,Подзаголовок,Les paires de devises sont l'une des destinations les plus populaires et les plus liquides de négociation. {Brokername} Instruments vous aidera à choisir rapidement une paire de devises qui correspond à vos préférences et votre style de trading personnelle.
2.2.3. Металлы,,,
64,marketsListText.market2.title,Заголовок,Marché des métaux
65,marketsListText.market2.text|dot,Подзаголовок,Les métaux ne perdent pas leur pertinence et vous permettent de négocier avec des risques minimes
2.2.4. Акции,,,
66,marketsListText.market3.title,Заголовок,Stocks
67,marketsListText.market3.text|dot,Подзаголовок,Une direction de négociation populaire est la diversification des lièvres de stocks de diverses entreprises
2.2.5. Товары,,,
68,marketsListText.market4.title,Заголовок,Сommouvertimes
69,marketsListText.market4.text|dot,Подзаголовок,Les opérations de négociation avec des produits de base vous permettent d'interagir avec de gros lots sans un dépôt important.
2.2.6. Индексы,,,
70,marketsListText.market5.title,Заголовок,Cryptocurrences
71,marketsListText.market5.text|dot,Подзаголовок,"La cryptocurrence gagne de plus en plus de popularité entre les commerçants, car c'est la possibilité d'opérations anonymes et l'absence d'impôt sur le revenu."
2.2.7. Криптовалюты,,,
72,marketsListText.market6.title,Заголовок,Cryptocurrences
73,marketsListText.market6.text|dot,Подзаголовок,"La cryptocurrence gagne de plus en plus de popularité entre les commerçants, car c'est la possibilité d'opérations anonymes et l'absence d'impôt sur le revenu."
2.3. Валюты,,,
2.3.1. Посадочный экран,,,
74,forexHeaderText.title,Заголовок,Paires de devises
75,forexHeaderText.text|dot,Подзаголовок,Les instruments de plate-forme {Brokername} vous permettent d'identifier des transactions potentiellement rentables dans les paires de devises et de prendre en compte les spécificités de chacun d'eux.
76,forexProfitsText.profit1.title,Преимущество №1. Заголовок.,Commencer à gagner de l'argent dans quelques clics
77,forexProfitsText.profit1.text|dot,Преимущество №1. Описание.,Tout ce dont vous avez besoin est l'accès à Internet. Augmenter vos revenus de partout dans le monde.
78,forexProfitsText.profit2.title,Преимущество №2. Заголовок.,Point d'entrée bas
79,forexProfitsText.profit2.text|dot,Преимущество №2. Описание.,Vous n'avez pas besoin d'investissements monétaires significatifs pour commencer à négocier.
80,forexProfitsText.profit3.title,Преимущество №3. Заголовок.,investissements à court terme
81,forexProfitsText.profit3.text|dot,Преимущество №3. Описание.,La volatilité du marché des changes assure la rentabilité des investissements à court terme.
82,forexProfitsText.profit4.title,Преимущество №4. Заголовок.,Accès 24 jours sur horloge par semaine
83,forexProfitsText.profit4.text|dot,Преимущество №4. Описание.,"Vous pouvez gagner de l'argent sur le trading de devises à tout moment opportun - le marché des changes est ouvert en semaine 24 heures sur 24, ce qui vous donne 120 heures par semaine pour travailler."
2.3.2. Описание рынка,,,
84,forexAssetsText.title,Заголовок,Le forex est le leader incontesté
85,forexAssetsText.text|dot,Подзаголовок,De nombreux instruments de la plate-forme {Brokername} vous permettent d'identifier avec précision des transactions potentiellement rentables dans les paires de devises et de prendre en compte les caractéristiques de chacune d'elles.
2.4. Металлы,,,
2.4.1. Посадочный экран,,,
86,metalsHeaderText.title,Заголовок,Marché des métaux
87,metalsHeaderText.text|dot,Подзаголовок,Choisissez n'importe quel type de métal et commencez à négocier aujourd'hui
88,metalsProfitsText.profit1.title,Преимущество №1. Заголовок.,Stabilité
89,metalsProfitsText.profit1.text|dot,Преимущество №1. Описание.,"Les métaux restent en demande partout, quelle que soit la situation de l'économie et de la politique"
90,metalsProfitsText.profit2.title,Преимущество №2. Заголовок.,Facile et simple
91,metalsProfitsText.profit2.text|dot,Преимущество №2. Описание.,Même un commerçant novice peut gagner de l'argent sur la différence de prix.
92,metalsProfitsText.profit3.title,Преимущество №3. Заголовок.,Marge bénéficiaire élevée
93,metalsProfitsText.profit3.text|dot,Преимущество №3. Описание.,Les investissements compétents dans les échanges métalliques offrent des rendements élevés avec des risques minimes
94,metalsProfitsText.profit4.title,Преимущество №4. Заголовок.,Prix ​​abordable
95,metalsProfitsText.profit4.text|dot,Преимущество №4. Описание.,Les échanges métalliques fournissent des gains stables même avec de petits gisements
2.4.2. Описание рынка,,,
96,metalsAssetsText.title,Заголовок,Marché des métaux
97,metalsAssetsText.text|dot,Подзаголовок,"Au cours des années de son existence, le marché des métaux n'a pas changé de manière significative. Des règles simples et claires permettent de rester populaires avec les débutants et les professionnels."
2.5. Акции,,,
2.5.1. Посадочный экран,,,
98,stocksHeaderText.title,Заголовок,Stocks
99,stocksHeaderText.text|dot,Подзаголовок,"Il s'agit d'un atout complexe avec ses propres règles, mais en raison de la combinaison de la sécurité et de la rentabilité, les commerçants continuent de les préférer."
100,stocksProfitsText.profit1.title,Преимущество №1. Заголовок.,Sélection énorme
101,stocksProfitsText.profit1.text|dot,Преимущество №1. Описание.,Investir dans une entreprise ou une industrie entière pour un maximum de revenus
102,stocksProfitsText.profit2.title,Преимущество №2. Заголовок.,Parier sur le futur
103,stocksProfitsText.profit2.text|dot,Преимущество №2. Описание.,"Pour la prévision, le commerçant peut se limiter à étudier les nouvelles de l'industrie liées à la société sélectionnée ou à ses états financiers."
104,stocksProfitsText.profit3.title,Преимущество №3. Заголовок.,Risques minimes
105,stocksProfitsText.profit3.text|dot,Преимущество №3. Описание.,"En règle générale, le risque d'une transaction particulière ne dépasse pas 3% du montant de l'investissement"
106,stocksProfitsText.profit4.title,Преимущество №4. Заголовок.,Accès à l'information
107,stocksProfitsText.profit4.text|dot,Преимущество №4. Описание.,Toutes les données nécessaires pour la transaction réussie du stock sont disponibles publiquement
2.5.2. Описание рынка,,,
108,stocksAssetsText.title,Заголовок,Marché des stocks
109,stocksAssetsText.text|dot,Подзаголовок,Un marché populaire parmi la plupart des commerçants avec un rendement de stocks liquides allant jusqu'à 80-100% par an.
2.6. Товары,,,
2.6.1. Посадочный экран,,,
110,commoditiesHeaderText.title,Заголовок,Сommouvertimes
111,commoditiesHeaderText.text|dot,Подзаголовок,"Analyser les marchés des produits de base est assez simple, car il s'agit de ce que vous rencontrez dans votre vie quotidienne."
112,commoditiesProfitsText.profit1.title,Преимущество №1. Заголовок.,Connaissance minimale
113,commoditiesProfitsText.profit1.text|dot,Преимущество №1. Описание.,Vous n'avez besoin de connaissances ni de compétences spéciales pour faire des prévisions
114,commoditiesProfitsText.profit2.title,Преимущество №2. Заголовок.,Revenu élevé
115,commoditiesProfitsText.profit2.text|dot,Преимущество №2. Описание.,Les fluctuations importantes des prix des marchandises vous permettent d'obtenir des revenus importants auprès des marchandises commerciales
116,commoditiesProfitsText.profit3.title,Преимущество №3. Заголовок.,Modèle
117,commoditiesProfitsText.profit3.text|dot,Преимущество №3. Описание.,"Le marché des produits de base est cyclique, donc si vous apprenez à travailler dessus, vous pourrez répéter votre succès d'année en année."
118,commoditiesProfitsText.profit4.title,Преимущество №4. Заголовок.,Stabilité
119,commoditiesProfitsText.profit4.text|dot,Преимущество №4. Описание.,Vous serez en mesure de prédire la valeur et la liquidité de certaines ressources pendant des années à venir.
2.6.2. Описание рынка,,,
120,commoditiesAssetsText.title,Заголовок,Marché des produits de base
121,commoditiesAssetsText.text|dot,Подзаголовок,"Un marché plus conservateur, mais pas moins populaire et plus prometteur. Vous permet de négocier des actifs sans les acheter et gagnez de l'argent sur la différence de prix."
2.7. Индексы,,,
2.7.1. Посадочный экран,,,
122,indicesHeaderText.title,Заголовок,Indices
123,indicesHeaderText.text|dot,Подзаголовок,Les fonds indiciels sont le type d'investissement le plus sûr. Tirer le meilleur parti des cours des actions sans risque de perte de capital.
124,indicesProfitsText.profit1.title,Преимущество №1. Заголовок.,Rentabilité élevée
125,indicesProfitsText.profit1.text|dot,Преимущество №1. Описание.,Les indices vous permettent d'augmenter votre capital avec succès
126,indicesProfitsText.profit2.title,Преимущество №2. Заголовок.,Dépôt minimum
127,indicesProfitsText.profit2.text|dot,Преимущество №2. Описание.,Le point d'entrée bas rend le marché des titres de fonds d'index extrêmement populaire auprès des investisseurs
128,indicesProfitsText.profit3.title,Преимущество №3. Заголовок.,Fiabilité
129,indicesProfitsText.profit3.text|dot,Преимущество №3. Описание.,"Vous ne pariez pas sur une entreprise spécifique, mais sur toutes les industries"
130,indicesProfitsText.profit4.title,Преимущество №4. Заголовок.,Facile et sûr
131,indicesProfitsText.profit4.text|dot,Преимущество №4. Описание.,"La diversification des risques et les investissements dans les actifs de différentes sociétés éliminent le risque de perdre un dépôt, même si l'un d'entre eux devient en faillite."
2.7.2. Описание рынка,,,
132,indicesAssetsText.title,Заголовок,Marché des indices
133,indicesAssetsText.text|dot,Подзаголовок,Un marché prometteur qui permet aux commerçants d'investir avec succès des fonds sans une analyse détaillée des stocks d'entreprises spécifiques.
2.8. Криптовалюты,,,
2.8.1. Посадочный экран,,,
134,cryptoHeaderText.title,Заголовок,Cryptocurrences
135,cryptoHeaderText.text|dot,Подзаголовок,"Les investissements dans l'industrie de la cryptographie paient plusieurs fois dans les plus brefs délais, car même les sceptiques l'ont déjà vu."
136,cryptoProfitsText.profit1.title,Преимущество №1. Заголовок.,Anonymat
137,cryptoProfitsText.profit1.text|dot,Преимущество №1. Описание.,Les données personnelles de tous les acteurs du marché sont cryptées
138,cryptoProfitsText.profit2.title,Преимущество №2. Заголовок.,Point d'entrée bas
139,cryptoProfitsText.profit2.text|dot,Преимущество №2. Описание.,Les investissements financiers minimaux sont suffisants pour investir dans le marché de la cryptocurrence
140,cryptoProfitsText.profit3.title,Преимущество №3. Заголовок.,Travailler 24 heures par jour
141,cryptoProfitsText.profit3.text|dot,Преимущество №3. Описание.,"L'échange est ouvert 24h / 24, il n'est donc pas nécessaire de fermer les commandes"
142,cryptoProfitsText.profit4.title,Преимущество №4. Заголовок.,Disponible
143,cryptoProfitsText.profit4.text|dot,Преимущество №4. Описание.,Tout ce dont vous avez besoin est l'accès à Internet. L'achat de cryptocurrence de partout dans le monde prendra quelques secondes.
2.8.2. Описание рынка,,,
144,cryptoAssetsText.title,Заголовок,Marché de cryptocurrence
145,cryptoAssetsText.text|dot,Подзаголовок,"Aujourd'hui, l'industrie de la crypto est un chef de rentabilité. En raison des fluctuations quotidiennes des taux de change, un commerçant peut considérablement augmenter leur profit."
3. Торговые условия,,,
3.1. Посадочный экран,,,
146,tradingHeaderText.title,Заголовок,En savoir plus sur les conditions de négociation
147,tradingHeaderText.text|dot,Подзаголовок,{Brokername} fait tous les efforts pour que le négoce sur la plate-forme fournit un revenu maximum et un plaisir du processus lui-même. Vous avez accès aux plus grands marchés du monde.
3.2. Калькулятор трейдера,,,
148,tradingCalculatorText.title,Заголовок,Hors compétition
149,tradingCalculatorText.text|dot,Подзаголовок,"{Nom du courtier} fait tous les efforts pour faire de la négociation sur notre plate-forme vous offrant un revenu maximum, ainsi que du plaisir du processus lui-même. Vous avez accès aux plus grands marchés du monde."
3.3. Расчетные данные,,,
150,estimationText.offer_1,Инструмент,"Instenment: <div class=""description"">préciser l'instenment financier sélectionné dans la liste</div>"
151,estimationText.offer_2,Цена открытия,"Prix: <div class=""description"">préciser le prix estimé de l'ouverture et de la clôture de l'ordre pour voir le résultat possible de l'ordre</div>"
152,estimationText.offer_3,Объем сделки,"Volume des échanges: <div class=""description"">préciser le volume exact des échanges en lots</div>"
153,estimationText.offer_4,"Своп, в пунктах","Swap en points: <div class=""description"">calculé automatiquement sur la base de la différence entre les prix d'achat et de vente</div>"
154,estimationText.offer_5,"Своп, в USD","Swap en USD: <div class=""description"">calculé automatiquement sur la base du coût de la reconduction de la position pendant la nuit</div>"
155,estimationText.offer_6,Маржа в USD,"Marge: <div class=""description"">les données spécifiées sont le montant minimum de dépôt gratuit requis pour effectuer une transaction</div>"
156,estimationText.offer_7,Прибыль в USD,"Profit: <div class=""description"">indication du profit probable sur la base des paramètres actuels</div>"
3.4. Пример расчета,,,
157,estimationText.h2,Заголовок,Comment fonctionne la calculatrice des commerçants
158,estimationText.ul_title,Подзаголовок,Donnée initiale
159,estimationText.li_1,Данные №1,Instenment
160,estimationText.li_2,Данные №2,Prix ​​d'ouverture
161,estimationText.li_3,Данные №3,Volume
162,estimationText.li_4,Данные №4,Swap en points
163,estimationText.li_5,Данные №5,Swap en USD
164,estimationText.li_6,Данные №6,Marge
165,estimationText.li_7,Данные №7,Profit
4. О компании,,,
4.1. О компании + Показатели,,,
166,aboutHeaderText.title,Слоган-заголовок,Notre priorité est l'intérêt de nos clients
167,aboutHeaderText.text|dot,Подзаголовок,"Nous ne poursuivons pas les avantages instantanés, mais augmentons régulièrement le revenu de nos clients. Notre objectif principal est de construire des relations stables, de confiance et de long terme avec nos clients."
168,aboutCounterText.counter1.title,Показатель №1,<span class='indicator-number_1' data-indicator-number='38000'>0</span>
169,aboutCounterText.counter1.text,Текст показателя №1,Ouvrir des comptes commerciaux
170,aboutCounterText.counter2.title,Показатель №2,<span class='indicator-number_2' data-indicator-number='400000'>0</span>
171,aboutCounterText.counter2.text,Текст показателя №2,Transactions par jour
172,aboutCounterText.counter3.title,Показатель №3,<span class='indicator-number_3' data-indicator-number='250'>0</span>+
173,aboutCounterText.counter3.text,Текст показателя №3,Instenments commerciaux
174,aboutCounterText.counter4.title,Показатель №4,<span class='indicator-number_4' data-indicator-number='150'>0</span> mln
175,aboutCounterText.counter4.text,Текст показателя №4,Des dollars le volume des transactions par jour
176,aboutCounterText.counter5.title,Показатель №5,<span class='indicator-number_5' data-indicator-number='4'>0</span>
177,aboutCounterText.counter5.text,Текст показателя №5,Année sur le marché
4.2. Вы в центре всего,,,
178,aboutConditionsText.title,Заголовок,Vous êtes toujours en charge
179,aboutConditionsText.text|dot,Подзаголовок,"Nous travaillons pour vous, chacun de nos clients dispose d'un retrait facile des fonds et d'une assistance en ligne 24h / 24."
4.3. Цели и задачи компании,,,
180,aboutGoalsText.h2,Общий заголовок,Nous nous efforçons pour le leadership du marché
181,aboutGoalsText.goal1.title,Заголовок №1,Haute qualité
182,aboutGoalsText.goal1.text|dot,Описание заголовка №1,"Après avoir créé la meilleure plate-forme de trading en termes de fonctionnalité et de commodité, nous nous déplaçons en toute confiance vers le titre de courtier n ° 1 en termes de qualité du service à la clientèle."
183,aboutGoalsText.goal2.title,Заголовок №2,Toujours un pas en avant
184,aboutGoalsText.goal2.text|dot,Описание заголовка №2,"Notre équipe ne s'arrête pas là-bas. Nous recherchons constamment de nouveaux marchés prometteurs, des actifs sous-évalués à haut rendement et d'autres instruments pouvant fournir à nos clients un avantage et augmenter les revenus."
4.4. Больше возможностей для трейдинга,,,
185,aboutQualityText.title,Заголовок №1,Opportunités de négociation maximales
186,aboutQualityText.text,Описание заголовка №1,"Notre plate-forme de haute technologie offre plus de 200 instruments de trading pour un échange efficace. Tout client, du débutant à l'expert, trouvera les meilleurs pour eux-mêmes."
4.5. Наша история,,,
187,aboutHistoryText.h2,Общий заголовок,Un projet avec des prospects énormes
188,aboutHistoryText.year1.title,2017 год. Заголовок,Démarrage brillant
189,aboutHistoryText.year1.text|dot,2017 год. Описание,"Une équipe de spécialistes cool s'est réunie pour créer le meilleur projet sur le marché. Pas de compromis, parce que nous pensons à tous les plus petits détails."
190,aboutHistoryText.year2.title,2018 год. Заголовок,Premières victoires
191,aboutHistoryText.year2.text|dot,2018 год. Описание,Le nombre de comptes de trading enregistrés a dépassé 20 000. La liste des paires de devises disponibles s'est développée et il est maintenant possible de négocier des cryptocurrences.
192,aboutHistoryText.year3.title,2019 год. Заголовок,Avantage sur les concurrents
193,aboutHistoryText.year3.text|dot,2019 год. Описание,"Les professionnels abandonnent de plus en plus leurs courtiers en notre faveur. Outre les nouvelles paires de devises, il est possible d'échanger les cryptocurrences les plus populaires: de Bitcoin et de Bitcoin Cash à Litecoin, ondulation et étherique."
194,aboutHistoryText.year4.title,2020 год. Заголовок,Grands objectifs
195,aboutHistoryText.year4.text|dot,2020 год. Описание,Nous n'arrêtons pas là et ne cherchons qu'environ.
4.6. Платформа для торговли разработанная для людей.,,,
196,aboutPlatformText.title,Заголовок,Une plate-forme accessible à tout le monde
197,aboutPlatformText.text|dot,Подзаголовок,"Absolument tout le monde peut facilement travailler avec notre plate-forme: un commerçant expérimenté et un débutant. Simplicité et commodité pour les utilisateurs, beaucoup d'instruments utiles et de vitesse maximale - c'est ce qui distingue {brokername} des concurrents."
198,aboutPlatformText.advantage1,Преимущества №1,Interface intuitive
199,aboutPlatformText.advantage2,Преимущества №2,Tous les instruments nécessaires à une analyse efficace
200,aboutPlatformText.advantage3,Преимущества №3,Vitesse maximale de l'exécution des transactions
201,aboutPlatformText.advantage4,Преимущества №4,Toutes les citations en temps réel
202,aboutPlatformText.advantage5,Преимущества №5,Protection et sécurité des données fiables
203,aboutPlatformText.advantage6,Преимущества №6,Support en ligne qualifié 24/7
204,aboutPlatformText.advantage7,Преимущества №7,Trade en douceur avec protection contre l'équilibre négatif
5. Аккредитации и лицензии.,,,
5.1. Посадочный экран,,,
205,licensesHeaderText.title,Заголовок,Sécurité garantie
206,licensesHeaderText.text,Подзаголовок к заголовку,"Notre intégrité à nos clients en toutes circonstances est confirmée par les régulateurs financiers internationaux tels que la FCA, la FSC et la CYSEC."
5.2. Информация о регуляторах и банках,,,
207,licensesListText.license1.title,Заголовок №1,FCA
208,licensesListText.license1.text,Описание №1,Autorité de conduite financière
209,licensesListText.license2.title,Заголовок №2,CySEC
210,licensesListText.license2.text,Описание №2,Chypre Securities and Exchange Commission.
211,licensesListText.license3.title,Заголовок №3,FSC
212,licensesListText.license3.text,Описание №3,Commission des services financiers des Îles Vierges britanniques
213,licensesListText.license4.title,Заголовок №4,ASIC
214,licensesListText.license4.text,Описание №4,Commission des valeurs mobilières australiennes
215,licensesListText.license5.title,Заголовок №5,Quotix Aggregator
216,licensesListText.license5.text,Описание №5,Agrégateur de liquidité du marché Forex
217,licensesListText.license6.title,Заголовок №6,JP Morgan
218,licensesListText.license6.text,Описание №6,L'une des plus grandes exploitations financières aux États-Unis
219,licensesListText.license7.title,Заголовок №7,MiFID
220,licensesListText.license7.text,Описание №7,"La directive de l'UE ""sur les marchés des instruments financiers"""
221,licensesListText.license8.title,Заголовок №8,Goldman Sachs
222,licensesListText.license8.text,Описание №8,Une des plus grandes banques d'investissement au monde
6. Ошибка 404.,,,
223,headerText404.title,Заголовок,Erreur 404
224,headerText404.text,Подзаголовок,"Cette page n'existe pas, veuillez contacter le support."
225,headerText404.textMainPage,Вернуться на главную страницу,Page d'accueil
226,headerText404.textSupport,Служба технической поддержки,Service de soutien
8. Формы,,,
8.1. Заголовки форм,,,
228,formsText.titleEnter,Вход в личный кабинет,Votre zone personnelle
229,formsText.titleCallback,Оставить заявку,Soumettez votre candidature
230,formsText.titleTwoauth,Двухэтапная авторизация,Authentification à deux facteurs
231,buttonText.signup,Регистрация,Inscription
232,fotmsText.titleReminder,Восстановление пароля,Réinitialisation du mot de passe
8.2. Поля ввода,,,
233,formsText.labelName,Введите ваше имя,Prénom *
234,formsText.placeholderName,Введите ваше имя (placeholder),Votre nom *
235,formsText.labelLastName,Введите вашу фамилию,Nom de famille *
236,formsText.placeholderLastName,Введите вашу фамилию (placeholder),Votre nom de famille *
237,formsText.labelMail,Введите ваш E-mail,Email *
238,formsText.placeholderEmail,Введите ваш E-mail (placeholder),Votre Email *
239,formsText.labelPassword,Введите пароль,Mot de passe *
240,formsText.placeholderPassword,Введите пароль (placeholder),Entrer mot de passe *
241,formsText.labelConfirmPassword,Подтвердите пароль,Confirmez mot de passe *
242,formsText.labelPhone,Поле для ввода номера телефона,Téléphone *
243,formsText.placeholderPhone,Поле для ввода номера телефона (placeholder),Votre téléphone *
244,formsText.labelCountry,Выберите страну,Un pays
245,formsText.placeholderCountry,Выберите страну (placeholder),Choisissez le pays
246,formsText.labelLanguage,Выберите язык,Langue
247,formsText.placeholderLanguage,Выберите язык (placeholder),Choisissez la langue
248,formsText.labelTime,Удобное время для звонка,L'heure qui convient
249,formsText.placeholderTime,Удобное время для звонка (placeholder),Entrez le temps d'appeler
250,formsText.lableTwoauth,Введите код двухэтапной авторизации,Code d'autorisation *
251,formsText.placeholderTwoauth,Введите код двухэтапной авторизации (placeholder),Code d'autorisation en deux étapes *
252,formsText.labelPromo,Введите промокод,Code promotionnel
253,formsText.placeholderPromo,Введите промокод (placeholder),Entrez code promotionnel
8.3. Дополнительный текст,,,
254,formsText.text_required,* - обязательные поля,* - Champs obligatoires
255,formsText.regRecommend,"Для пароля разрешены только латинские буквы, цифры и символы. ","Seuls les lettres, chiffres et symboles latins sont autorisés pour le mot de passe. Le mot de passe doit contenir au moins une lettre majuscule, une lettre minuscule et un chiffre."
256,formsText.checkboxText,Обработка персональных данных (чекбокс),Je suis d'accord pour le traitement des données personnelles
8.4. Уведомления,,,
257,formsText.titleSuccess,Спасибо за отправку сообщения,Merci d'envoyer un message
258,formsText.textSuccess,Спасибо за отправку сообщения текст,Nous vous contacterons sous peu.
259,formsText.titleError,Ошибка отправки сообщения,Erreur d'envoi
260,formsText.textError,Ошибка отправки сообщения текст,Essayer plus tard
309,formsText.titleAttention,Ошибка (заголовок),Attention!
8.5. Ссылки в форме,,,
