id,constant,position,translate
37,indexStepsText.step3.text|dot,Описание Шага №3,Ознакомьтесь с торговым терминалом и начинайте торговать.
1.5. Информация об аккаунтах.,,,
38,indexAccountsText.h2,Главный заголовок раздела,Тарифы
39,indexAccountsText.account1.title,Аккаунт №1,Инвестор
40,indexAccountsText.account1.text|dot,Подзаголовок для аккаунта №1,Доступ к наиболее востребованным инструментам для начинающих трейдеров и возможность начать с минимальных вложений
41,indexAccountsText.account2.title,Аккаунт №2,Профессионал
42,indexAccountsText.account2.text|dot,Подзаголовок для аккаунта №2,Расширенный пакет торговых инструментов для продвинутых трейдеров с крупными суммами инвестиций
43,indexAccountsText.account3.title,Аккаунт №3,Премиум
44,indexAccountsText.account3.text|dot,Подзаголовок для аккаунта №3,"Полный пакет финансовых инструментов для профессиональных трейдеров, включающий специальные торговые условия, минимальные комиссии и дополнительные услуги"
45,indexAccountsText.account_condition_1,Минимальный депозит:,Минимальный депозит
46,indexAccountsText.account_condition_2,Кредитное плечо:,Кредитное плечо
47,indexAccountsText.account_condition_3,Моментальное исполнение,Моментальное исполнение
48,indexAccountsText.account_condition_4,Торговля криптовалютами и металлами,Торговля криптовалютами и металлами
49,indexAccountsText.account_condition_5,Возможность инвестиций в ПАММ-счета,Возможность инвестиций в ПАММ-счета
50,indexAccountsText.account_condition_6,Отсутствие свопа,Отсутствие свопа
51,indexAccountsText.account_condition_7,Торговля ETF и индексами,Торговля ETF и индексами
52,indexAccountsText.account_condition_8,Страхование депозитов,Страхование депозитов
53,indexAccountsText.account_condition_9,Персональный менеджер,Персональный менеджер
54,indexAccountsText.account_condition_10,Открытие личного ПАММ-счета,Открытие личного ПАММ-счета
53,indexAccountsText.account_condition_11,Защита депозитов,Защита депозитов
54,indexAccountsText.account_condition_12,Круглосуточная поддержка,Круглосуточная поддержка
1.6. Новости,,,
55,indexNewsText.h2,Главный заголовок раздела,Последние экономические новости
1.7. Футер,,,
56,footerContent,Футер текст,"Компания {BrockerName} зарегистрирована по адресу: Northern Shops. Mile 1 Phillip Goldson Highway, Belize City, Belize. Деятельность компании осуществляется в соответствии с требованиями Кипрской комиссии по ценным бумагам и биржам (номер лицензии: 979/23), Комиссии по международным финансовым услугам (IFSC) (01/46/HP/77) и Комиссии по финансовым услугам Республики Маврикия (номер лицензии инвестиционного дилера: F07658994)."
2. Рынки и инструменты,,,
2.2. Обзор рынков,,,
2.2.1. Посадочный экран,,,
57,marketsHeaderText.title,Заголовок,{BrokerName} – это возможность зарабатывать из любой точки мира.
58,marketsHeaderText.text|dot,Подзаголовок,Выбирайте любое направление для инвестиций на платформе
59,commonMarketsText.title_graph,Заголовок торгового графика,График торгового инструмента
60,commonMarketsText.title_table,Заголовок таблицы инструментов,Таблица инструментов
61,commonMarketsText.footnote,Часы работы рынков,* часы открытия и закрытия торгов указаны по UTC+0
2.2.2. Валюты,,,
62,marketsListText.market1.title,Заголовок,Валютные пары
63,marketsListText.market1.text|dot,Подзаголовок,"Валютные пары - одно из самых популярных и ликвидных направлений для торговли. Инструменты {BrokerName} помогут быстро подобрать валютную пару, отвечающую вашим предпочтениям и личному стилю торговли."
2.2.3. Металлы,,,
64,marketsListText.market2.title,Заголовок,Рынок металлов 
65,marketsListText.market2.text|dot,Подзаголовок,Металлы не теряют своей актуальности и позволяют торговать с минимальными рисками
2.2.4. Акции,,,
66,marketsListText.market3.title,Заголовок,Акции
67,marketsListText.market3.text|dot,Подзаголовок,Популярное торговое направление - диверсификация в акции различных компаний
2.2.5. Товары,,,
68,marketsListText.market4.title,Заголовок,Сырье
69,marketsListText.market4.text|dot,Подзаголовок,Торговые операции с сырьем позволяют взаимодействовать с крупными лотами без большого депозита.
2.2.6. Индексы,,,
70,marketsListText.market5.title,Заголовок,Индексы
71,marketsListText.market5.text|dot,Подзаголовок,Торговля индексами позволяет с выгодой работать на ведущих мировых фондовых рынках. А благодаря приобретению акций сразу нескольких компаний вы по умолчанию достигаете диверсификации портфеля. 
2.2.7. Криптовалюты,,,
72,marketsListText.market6.title,Заголовок,Криптовалюты
73,marketsListText.market6.text|dot,Подзаголовок,"Криптовалюта завоевывает все большую популярность среди трейдеров, ведь это возможность анонимных сделок и отсутствие налогообложения на доходы. "
2.3. Валюты,,,
2.3.1. Посадочный экран,,,
74,forexHeaderText.title,Заголовок,Валютные пары
75,forexHeaderText.text|dot,Подзаголовок,Инструменты платформы {BrokerName} позволяют выявлять потенциально выгодные сделки в торговле валютными парами и учитывать особенности каждой из них.
76,forexProfitsText.profit1.title,Преимущество №1. Заголовок.,Начните зарабатывать в пару кликов
77,forexProfitsText.profit1.text|dot,Преимущество №1. Описание.,"Все, что вам нужно – это доступ в Интернет. Приумножайте свои доходы из любой точки мира."
78,forexProfitsText.profit2.title,Преимущество №2. Заголовок.,Низкий порог входа
79,forexProfitsText.profit2.text|dot,Преимущество №2. Описание.,Для начала торговли не потребуются существенные денежные вложения.
80,forexProfitsText.profit3.title,Преимущество №3. Заголовок.,Краткосрочные инвестиции
81,forexProfitsText.profit3.text|dot,Преимущество №3. Описание.,Волатильность валютного рынка обеспечивает прибыльность краткосрочных инвестиций.
82,forexProfitsText.profit4.title,Преимущество №4. Заголовок.,Круглосуточный доступ 5 дней в неделю
83,forexProfitsText.profit4.text|dot,Преимущество №4. Описание.,"Зарабатывать на торговле валютой вы можете в любое удобное время – валютный рынок работает по будням круглосуточно, что дает для работы 120 часов в неделю."
2.3.2. Описание рынка,,,
84,forexAssetsText.title,Заголовок,Форекс – бесспорный лидер
85,forexAssetsText.text|dot,Подзаголовок,Многочисленные инструменты платформы {BrokerName} позволяют безошибочно выявлять потенциально выгодные сделки в торговле валютными парами и учитывать особенности каждой из них.
2.4. Металлы,,,
2.4.1. Посадочный экран,,,
86,metalsHeaderText.title,Заголовок,Рынок металлов
87,metalsHeaderText.text|dot,Подзаголовок,Выбирайте любой вид металла и начинайте торговать уже сегодня
88,metalsProfitsText.profit1.title,Преимущество №1. Заголовок.,Стабильность
89,metalsProfitsText.profit1.text|dot,Преимущество №1. Описание.,Металлы остаются повсеместно востребованы вне зависимости от ситуации в экономике и политике
90,metalsProfitsText.profit2.title,Преимущество №2. Заголовок.,Легко и просто
91,metalsProfitsText.profit2.text|dot,Преимущество №2. Описание.,Заработать на разнице цен сможет даже начинающий трейдер.
92,metalsProfitsText.profit3.title,Преимущество №3. Заголовок.,Высокая прибыль
93,metalsProfitsText.profit3.text|dot,Преимущество №3. Описание.,Грамотные инвестиции при торговле металлами обеспечивают высокую доходность с минимальными рисками
94,metalsProfitsText.profit4.title,Преимущество №4. Заголовок.,Доступная цена
95,metalsProfitsText.profit4.text|dot,Преимущество №4. Описание.,Торговля металлами обеспечивает стабильные заработки даже с небольшими депозитами
2.4.2. Описание рынка,,,
96,metalsAssetsText.title,Заголовок,Рынок металлов
97,metalsAssetsText.text|dot,Подзаголовок,"За годы существования рынок металлов не претерпел существенных изменений. Простые и понятные правила позволяют ему сохранять популярность как у новичков, так и у профессионалов."
2.5. Акции,,,
2.5.1. Посадочный экран,,,
98,stocksHeaderText.title,Заголовок,Акции
99,stocksHeaderText.text|dot,Подзаголовок,"Это сложный актив со своими правилами, но из-за сочетания безопасности и доходности трейдеры продолжают отдавать предпочтение именно им."
100,stocksProfitsText.profit1.title,Преимущество №1. Заголовок.,Огромный выбор
101,stocksProfitsText.profit1.text|dot,Преимущество №1. Описание.,Инвестируйте в компанию или целую отрасль для достижения максимального дохода. 
102,stocksProfitsText.profit2.title,Преимущество №2. Заголовок.,Ставка на будущее
103,stocksProfitsText.profit2.text|dot,Преимущество №2. Описание.,"Для прогнозирования трейдер может ограничиться изучением отраслевых новостей, связанных с выбранной компанией или ее финансовой отчетности."
104,stocksProfitsText.profit3.title,Преимущество №3. Заголовок.,Минимальные риски
105,stocksProfitsText.profit3.text|dot,Преимущество №3. Описание.,"Как правило, риск по конкретной сделке не превышает 3% от суммы инвестиционных вложений."
106,stocksProfitsText.profit4.title,Преимущество №4. Заголовок.,Доступ к информации
107,stocksProfitsText.profit4.text|dot,Преимущество №4. Описание.,Все необходимые данные для успешной торговли акциями предоставлены в открытом доступе.
2.5.2. Описание рынка,,,
108,stocksAssetsText.title,Заголовок,Рынок акций
109,stocksAssetsText.text|dot,Подзаголовок,Популярный у большинства трейдеров рынок с доходностью ликвидных акций до 80-100% годовых.
2.6. Товары,,,
2.6.1. Посадочный экран,,,
110,commoditiesHeaderText.title,Заголовок,Сырье
111,commoditiesHeaderText.text|dot,Подзаголовок,"Анализ сырьевых рынков довольно прост, поскольку речь идет о вещах, с которыми вы сталкиваетесь в повседневной жизни."
112,commoditiesProfitsText.profit1.title,Преимущество №1. Заголовок.,Минимум знаний
113,commoditiesProfitsText.profit1.text|dot,Преимущество №1. Описание.,Для составления прогнозов не потребуются особые знания или навыки. 
114,commoditiesProfitsText.profit2.title,Преимущество №2. Заголовок.,Высокий доход
115,commoditiesProfitsText.profit2.text|dot,Преимущество №2. Описание.,Существенные колебания цен на товары позволяют получать от торговли сырьем внушительные доходы.
116,commoditiesProfitsText.profit3.title,Преимущество №3. Заголовок.,Закономерности
117,commoditiesProfitsText.profit3.text|dot,Преимущество №3. Описание.,"Рынку сырья присуща цикличность, поэтому научившись на нем работать вы сможете повторять свой успех из года в год."
118,commoditiesProfitsText.profit4.title,Преимущество №4. Заголовок.,Стабильность
119,commoditiesProfitsText.profit4.text|dot,Преимущество №4. Описание.,Вы сможете прогнозировать ценность и ликвидность тех или иных ресурсов на годы вперед. 
2.6.2. Описание рынка,,,
120,commoditiesAssetsText.title,Заголовок,Рынок товаров
121,commoditiesAssetsText.text|dot,Подзаголовок,"Более консервативный, но не менее популярный и перспективный рынок. Позволяет вести торговлю любыми активами без их фактического приобретения и зарабатывать на разнице цен."
2.7. Индексы,,,
2.7.1. Посадочный экран,,,
122,indicesHeaderText.title,Заголовок,Индексы
123,indicesHeaderText.text|dot,Подзаголовок,Индексные фонды являются самым безопасным видом инвестиций. Зарабатывайте по максимуму на росте цен акций без риска потери капитала. 
124,indicesProfitsText.profit1.title,Преимущество №1. Заголовок.,Высокая доходность
125,indicesProfitsText.profit1.text|dot,Преимущество №1. Описание.,Индексы позволяют успешно приумножать ваш капитал.
126,indicesProfitsText.profit2.title,Преимущество №2. Заголовок.,Минимальный депозит
127,indicesProfitsText.profit2.text|dot,Преимущество №2. Описание.,Низкий порог входа делает рынок ценных бумаг индексного фонда чрезвычайно популярным среди инвесторов.
128,indicesProfitsText.profit3.title,Преимущество №3. Заголовок.,Надежность
129,indicesProfitsText.profit3.text|dot,Преимущество №3. Описание.,"Вы делаете ставки не на конкретную компанию, а на целые отрасли. "
130,indicesProfitsText.profit4.title,Преимущество №4. Заголовок.,Легко и безопасно
131,indicesProfitsText.profit4.text|dot,Преимущество №4. Описание.,Диверсификация рисков и инвестиции в активы разных компаний исключает риски потери депозита даже при банкротстве одной из них.
2.7.2. Описание рынка,,,
132,indicesAssetsText.title,Заголовок,Рынок индексов 
133,indicesAssetsText.text|dot,Подзаголовок,"Перспективный рынок, позволяющий трейдерам успешно инвестировать средства без детального анализа акций конкретных компаний."
2.8. Криптовалюты,,,
2.8.1. Посадочный экран,,,
134,cryptoHeaderText.title,Заголовок,Криптовалюты
135,cryptoHeaderText.text|dot,Подзаголовок,"Инвестиции в криптоиндустрию многократно окупаются в кратчайшие сроки, в чем уже убедились даже скептики."
136,cryptoProfitsText.profit1.title,Преимущество №1. Заголовок.,Анонимность
137,cryptoProfitsText.profit1.text|dot,Преимущество №1. Описание.,Персональные данные всех участников рынка зашифрованы.
138,cryptoProfitsText.profit2.title,Преимущество №2. Заголовок.,Низкий порог вхождения
139,cryptoProfitsText.profit2.text|dot,Преимущество №2. Описание.,Достаточно минимальных финансовых вложений для инвестирования в криптовалютный рынок.
140,cryptoProfitsText.profit3.title,Преимущество №3. Заголовок.,Работа 24 часов в сутки
141,cryptoProfitsText.profit3.text|dot,Преимущество №3. Описание.,"Биржа работает круглосуточно, поэтому нет необходимости закрывать ордера."
142,cryptoProfitsText.profit4.title,Преимущество №4. Заголовок.,Доступно
143,cryptoProfitsText.profit4.text|dot,Преимущество №4. Описание.,"Все, что вам нужно - это доступ к Интернету. Покупка криптовалюты из любой точки мира займет несколько секунд."
2.8.2. Описание рынка,,,
144,cryptoAssetsText.title,Заголовок,Рынок криптовалют
145,cryptoAssetsText.text|dot,Подзаголовок,Сегодня криптоиндустрия - лидер по доходности. За счет дневного колебания курсов трейдер может существенно увеличить свою прибыль.
3. Торговые условия,,,
3.1. Посадочный экран,,,
146,tradingHeaderText.title,Заголовок,Детальнее ознакомьтесь с торговыми условиями
147,tradingHeaderText.text|dot,Подзаголовок,"{BrokerName} прилагает максимум усилий, чтобы трейдинг на платформе обеспечивал максимальный доход и удовольствие от самого процесса. Вам открыт доступ к крупнейшим мировым рынкам."
3.2. Калькулятор трейдера,,,
148,tradingCalculatorText.title,Заголовок,Торговый калькулятор
149,tradingCalculatorText.text|dot,Подзаголовок,"Проверенный способ быстро принимать верные решения. Вы сможете ввести текущие цены, комиссии, свои прогнозы и буквально парой кликов посчитать потенциальную прибыль. Калькулятор поможет справиться с расчетами, если вы сомневаетесь в своих силах. "
3.3. Расчетные данные,,,
150,estimationText.offer_1,Инструмент,"Инструмент: <div class=""description"">указывайте выбранный финансовый инструмент из списка</div>"
151,estimationText.offer_2,Цена открытия,"Цена: <div class=""description"">укажите предположительную цену открытия и закрытия ордера, чтобы узнать возможный результат</div>"
152,estimationText.offer_3,Объем сделки,"Объем сделки: <div class=""description"">укажите точный объем сделки в лотах</div>"
153,estimationText.offer_4,"Спред, в пунктах","Спред в пунктах: <div class=""description"">просчитывается автоматически исходя из разницы между ценами Ask и Bid</div>"
154,estimationText.offer_5,"Своп, в USD","Своп в USD: <div class=""description"">просчитывается автоматически исходя из стоимости переноса позиции в ночное время</div>"
155,estimationText.offer_6,Маржа в USD,"Маржа: <div class=""description"">указанные данные - это минимальный размер свободного депозита, который необходим для осуществления сделки</div>"
156,estimationText.offer_7,Прибыль в USD,"Прибыль: <div class=""description"">указывается вероятная прибыль на основании введенных параметров</div>"
3.4. Пример расчета,,,
157,estimationText.h2,Заголовок,Как работает калькулятор трейдера
158,estimationText.ul_title,Подзаголовок,Исходные данные
159,estimationText.li_1,Данные №1,Инструмент
160,estimationText.li_2,Данные №2,Цена открытия
161,estimationText.li_3,Данные №3,Объем сделки
162,estimationText.li_4,Данные №4,Спред в пунктах
163,estimationText.li_5,Данные №5,Своп в USD
164,estimationText.li_6,Данные №6,Маржа
165,estimationText.li_7,Данные №7,Прибыль
4. О компании,,,
4.1. О компании + Показатели,,,
166,aboutHeaderText.title,Слоган-заголовок,Наш приоритет - интересы клиентов
167,aboutHeaderText.text|dot,Подзаголовок,"Мы не гонимся за мгновенной выгодой, а стабильно увеличиваем доходы наших клиентов. Наша главная цель - выстраивание стабильных, доверительных и долгосрочных отношений с клиентами."
168,aboutCounterText.counter1.title,Показатель №1,<span class='indicator-number_1' data-indicator-number='38000'>0</span>
169,aboutCounterText.counter1.text,Текст показателя №1,активных трейдеров
170,aboutCounterText.counter2.title,Показатель №2,<span class='indicator-number_2' data-indicator-number='400000'>0</span>
171,aboutCounterText.counter2.text,Текст показателя №2,открытых ордеров ежедневно 
172,aboutCounterText.counter3.title,Показатель №3,<span class='indicator-number_3' data-indicator-number='250'>0</span>+
173,aboutCounterText.counter3.text,Текст показателя №3,торговых инструментов
174,aboutCounterText.counter4.title,Показатель №4,<span class='indicator-number_4' data-indicator-number='150'>0</span> млн
175,aboutCounterText.counter4.text,Текст показателя №4,долларов ежедневный оборот наших клиентов
176,aboutCounterText.counter5.title,Показатель №5,<span class='indicator-number_5' data-indicator-number='4'>0</span>
177,aboutCounterText.counter5.text,Текст показателя №5,года на рынке брокеров
4.2. Вы в центре всего,,,
178,aboutConditionsText.title,Заголовок,Вы всегда главный
179,aboutConditionsText.text|dot,Подзаголовок,"Мы работаем для вас, поэтому каждый наш клиент имеет легкий вывод средств и круглосуточную онлайн-поддержку. "
4.3. Цели и задачи компании,,,
180,aboutGoalsText.h2,Общий заголовок,Стремимся к лидерству на рынке
181,aboutGoalsText.goal1.title,Заголовок №1,Высокое качество
182,aboutGoalsText.goal1.text|dot,Описание заголовка №1,"Создав наилучшую по функциональности и удобству площадку для трейдинга, мы уверенно движемся к званию брокера №1 по качеству клиентского сервиса. "
183,aboutGoalsText.goal2.title,Заголовок №2,Всегда на шаг впереди 
184,aboutGoalsText.goal2.text|dot,Описание заголовка №2,"Постоянно находимся в поиске новых перспективных рынков, высокодоходных недооцененных активов и иных инструментов, способных обеспечить нашим клиентам преимущество и увеличение дохода."
4.4. Больше возможностей для трейдинга,,,
185,aboutQualityText.title,Заголовок №1,Максимум возможностей для трейдинга
186,aboutQualityText.text|dot,Описание заголовка №1,На нашей платформе представлено свыше 150 торговых инструментов для продуктивного трейдинга. Каждый клиент сможет подобрать среди них оптимальные инструменты лично для себя. 
4.5. Наша история,,,
187,aboutHistoryText.h2,Общий заголовок,Проект с огромными перспективами
188,aboutHistoryText.year1.title,2018 год. Заголовок,Яркий старт
189,aboutHistoryText.year1.text|dot,2018 год. Описание,"Команда крутых специалистов собралась вместе, чтобы создать лучший проект на рынке. Никаких компромиссов, ведь мы продумываем все до мельчайших деталей. "
190,aboutHistoryText.year2.title,2019 год. Заголовок,Первые победы
191,aboutHistoryText.year2.text|dot,2019 год. Описание,"Количество зарегистрированных торговых счетов превысило 20 000. Расширился список доступных валютных пар, появилась возможность торговать криптовалютой. "
192,aboutHistoryText.year3.title,2020 год. Заголовок,Превосходство над конкурентами
193,aboutHistoryText.year3.text|dot,2020 год. Описание,"Профессионалы все чаще отказываются от своих брокеров в нашу пользу. Наряду с новыми валютными парами реализована возможность торговать наиболее ходовыми криптовалютами: от Bitcoin и Bitcoin Cash до Litecoin, Ripple и Etherium."
194,aboutHistoryText.year4.title,2021 год. Заголовок,Высокие цели
195,aboutHistoryText.year4.text|dot,2021 год. Описание,Мы не останавливаемся на достигнутом и смотрим только вперед.
4.6. Платформа для торговли разработанная для людей.,,,
196,aboutPlatformText.title,Заголовок,"Платформа, доступная всем"
197,aboutPlatformText.text|dot,Подзаголовок,"Простота и удобство для пользователей, множество полезных инструментов и максимальная скорость - вот, что выгодно отличает {BrokerName} от конкурентов."
198,aboutPlatformText.advantage1,Преимущества №1,Интуитивно понятный интерфейс
199,aboutPlatformText.advantage2,Преимущества №2,"Все необходимые инструменты для эффективного анализа
"
200,aboutPlatformText.advantage3,Преимущества №3,"Максимальная скорость исполнения сделок
"
201,aboutPlatformText.advantage4,Преимущества №4,Все котировки в режиме реального времени
202,aboutPlatformText.advantage5,Преимущества №5,Надежная защита данных и безопасность
203,aboutPlatformText.advantage6,Преимущества №6,Квалифицированная онлайн-поддержка 24/7
204,aboutPlatformText.advantage7,Преимущества №7,Бесперебойная торговля с защитой от отрицательного баланса
5. Лицензии.,,,
5.1. Посадочный экран,,,
205,licensesHeaderText.title,Заголовок,Гарантированная безопасность
206,licensesHeaderText.text,Подзаголовок к заголовку,"Наша честность по отношению к клиентам при любых обстоятельствах подтверждена международными финансовыми регуляторами, такими как FCA, FSC и CySEC."
5.2. Информация о регуляторах и банках,,,
207,licensesListText.license1.title,Заголовок №1,FCA
208,licensesListText.license1.text,Описание №1,Управление по финансовому регулированию и надзору
209,licensesListText.license2.title,Заголовок №2,CySEC
210,licensesListText.license2.text,Описание №2,Кипрская комиссия по ценным бумагам и биржам
211,licensesListText.license3.title,Заголовок №3,FSC
212,licensesListText.license3.text,Описание №3,Комиссия по финансовым услугам Британских Виргинских островов
213,licensesListText.license4.title,Заголовок №4,ASIC
214,licensesListText.license4.text,Описание №4,Австралийская комиссия по ценным бумагам
215,licensesListText.license5.title,Заголовок №5,Quotix Aggregator
216,licensesListText.license5.text,Описание №5,Агрегатор ликвидности рынка Forex
217,licensesListText.license6.title,Заголовок №6,JP Morgan
218,licensesListText.license6.text,Описание №6,Один из крупнейших финансовых холдингов США
219,licensesListText.license7.title,Заголовок №7,MiFID
220,licensesListText.license7.text,Описание №7,Директива Евросоюза «O рынках финансовых инструментов».
221,licensesListText.license8.title,Заголовок №8,Goldman Sachs
222,licensesListText.license8.text,Описание №8,Один из крупнейших инвестиционных банков в мире
6. Ошибка 404.,,,
223,headerText404.title,Заголовок,Ошибка 404
224,headerText404.text,Подзаголовок,"Данной страницы не существует, обратитесь в службу поддержки."
225,headerText404.textMainPage,Вернуться на главную страницу,На главную
226,headerText404.textSupport,Служба технической поддержки,Служба поддержки
8. Формы,,,
8.1. Заголовки форм,,,
228,formsText.titleEnter,Вход в личный кабинет,Вход в личный кабинет
229,formsText.titleCallback,Оставить заявку,Оставить заявку
230,formsText.titleTwoauth,Двухэтапная авторизация,Двухфакторная авторизация
231,buttonText.signup,Регистрация,Регистрация
232,fotmsText.titleReminder,Восстановление пароля,Восстановление пароля
8.2. Поля ввода,,,
233,formsText.labelName,Введите ваше имя,Имя *
234,formsText.placeholderName,Введите ваше имя (placeholder),Ваше имя *
235,formsText.labelLastName,Введите вашу фамилию,Фамилия *
236,formsText.placeholderLastName,Введите вашу фамилию (placeholder),Ваша фамилия *
237,formsText.labelMail,E-mail,E-mail *
238,formsText.placeholderEmail,Введите ваш E-mail (placeholder),Ваш E-mail *
239,formsText.labelPassword,Введите пароль,Пароль *
240,formsText.placeholderPassword,Введите пароль (placeholder),Введите пароль *
241,formsText.labelConfirmPassword,Подтвердите пароль,Подтвердите пароль *
242,formsText.labelPhone,Поле для ввода номера телефона,Телефон *
243,formsText.placeholderPhone,Поле для ввода номера телефона (placeholder),Ваш телефон *
244,formsText.labelCountry,Выберите страну,Страна 
245,formsText.placeholderCountry,Выберите страну (placeholder),Выберите страну
246,formsText.labelLanguage,Выберите язык,Язык
247,formsText.placeholderLanguage,Выберите язык (placeholder),Выберите язык
248,formsText.labelTime,Удобное время для звонка,Удобное время
249,formsText.placeholderTime,Удобное время для звонка (placeholder),Время для звонка
250,formsText.lableTwoauth,Введите код двухэтапной авторизации,Код авторизации *
251,formsText.placeholderTwoauth,Введите код двухэтапной авторизации (placeholder),Код двухэтапной авторизации *
252,formsText.labelPromo,Введите промокод,Промокод
253,formsText.placeholderPromo,Введите промокод (placeholder),Введите промокод
8.3. Дополнительный текст,,,
254,formsText.text_required,* - обязательные поля,* - обязательное поле
255,formsText.regRecommend,"Для пароля разрешены только латинские буквы, цифры и символы. ","Для пароля разрешены только латинские буквы, цифры и символы. Пароль должен содержать как минимум одну заглавную букву, одну строчную букву и одну цифру."
256,formsText.checkboxText,Обработка персональных данных (чекбокс),Я согласен на обработку персональных данных
8.4. Уведомления,,,
257,formsText.titleSuccess,Спасибо за отправку сообщения (заголовок),Спасибо за отправку сообщения
258,formsText.textSuccess,Спасибо за отправку сообщения текст (подзаголовок),Мы свяжемся с вами в ближайшее время.
259,formsText.titleError,Ошибка отправки сообщения (заголовок),Ошибка отправки сообщения
260,formsText.textError,Ошибка отправки сообщения текст (подзаголовок),Попробуйте позднее
309,formsText.titleAttention,Ошибка (заголовок),Внимание!
8.5. Ссылки в форме,,,
261,formsText.forgotText,Забыли пароль?,Забыли пароль?
262,formsText.allreadyText,Уже есть учетная запись,Уже есть учетная запись
9. Навигация,,,
263,navText.index,Главная,Главная
264,navText.markets,Рынки,Рынки
265,navText.about,О компании,О компании
266,navText.contacts,Контакты,Контакты
267,navText.forex,Валюты,Валюты
268,navText.metals,Металлы,Металлы
269,navText.stocks,Акции,Акции
270,navText.commodities,Товары,Товары
271,navText.indices,Индексы,Индексы
272,navText.crypto,Криптовалюты,Криптовалюты
273,navText.trading,Торговые условия,Торговые условия
274,navText.licenses,Аккредитация и лицензии,Аккредитации и лицензии
275,formsText.checkboxAgreement,Пользовательское соглашение,Пользовательское соглашение
276,formsText.checkboxPolicy,Политика возврата средств,Политика возврата средств
293,curLang,Текущий язык,Ru
10. Кнопки,,,
